# Renewables.ninja Weather (Point API) - 55.684, 12.535 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Copenhagen, temperature in ºC, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "55.68377855290114", "lon": "12.535400390625", "date_from": "2014-01-01", "date_to": "2014-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature,radiation_surface
2014-01-01 00:00,2014-01-01 01:00,2.118,0
2014-01-01 01:00,2014-01-01 02:00,2.147,0
2014-01-01 02:00,2014-01-01 03:00,2.324,0
2014-01-01 03:00,2014-01-01 04:00,2.344,0
2014-01-01 04:00,2014-01-01 05:00,2.384,0
2014-01-01 05:00,2014-01-01 06:00,2.353,0
2014-01-01 06:00,2014-01-01 07:00,2.302,0
2014-01-01 07:00,2014-01-01 08:00,2.181,1.065
2014-01-01 08:00,2014-01-01 09:00,2.153,29.357
2014-01-01 09:00,2014-01-01 10:00,2.371,69.650
2014-01-01 10:00,2014-01-01 11:00,2.630,99.419
2014-01-01 11:00,2014-01-01 12:00,2.857,97.704
2014-01-01 12:00,2014-01-01 13:00,2.940,70.536
2014-01-01 13:00,2014-01-01 14:00,2.875,26.586
2014-01-01 14:00,2014-01-01 15:00,2.813,2.325
2014-01-01 15:00,2014-01-01 16:00,2.810,0
2014-01-01 16:00,2014-01-01 17:00,2.686,0
2014-01-01 17:00,2014-01-01 18:00,2.577,0
2014-01-01 18:00,2014-01-01 19:00,2.609,0
2014-01-01 19:00,2014-01-01 20:00,2.671,0
2014-01-01 20:00,2014-01-01 21:00,2.739,0
2014-01-01 21:00,2014-01-01 22:00,2.876,0
2014-01-01 22:00,2014-01-01 23:00,2.980,0
2014-01-01 23:00,2014-01-02 00:00,2.932,0
2014-01-02 00:00,2014-01-02 01:00,2.886,0
2014-01-02 01:00,2014-01-02 02:00,2.901,0
2014-01-02 02:00,2014-01-02 03:00,2.952,0
2014-01-02 03:00,2014-01-02 04:00,3.028,0
2014-01-02 04:00,2014-01-02 05:00,3.154,0
2014-01-02 05:00,2014-01-02 06:00,3.342,0
2014-01-02 06:00,2014-01-02 07:00,3.493,0
2014-01-02 07:00,2014-01-02 08:00,3.552,0.406
2014-01-02 08:00,2014-01-02 09:00,3.633,14.329
2014-01-02 09:00,2014-01-02 10:00,3.854,37.437
2014-01-02 10:00,2014-01-02 11:00,4.089,43.813
2014-01-02 11:00,2014-01-02 12:00,4.184,30.397
2014-01-02 12:00,2014-01-02 13:00,4.072,18.342
2014-01-02 13:00,2014-01-02 14:00,3.855,9.449
2014-01-02 14:00,2014-01-02 15:00,3.647,1.243
